SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.60000   3.10000 125.00000  75.00000   0.00000   -344.79812390   -344.79812484   0.9387368E-06
    2.80000   2.80000   2.90000 125.00000  75.00000   0.00000   -344.79312720   -344.79312330  -0.3900945E-05
    2.80000   2.80000   3.10000 100.00000  75.00000   0.00000   -344.77718140   -344.77717575  -0.5652909E-05
    2.40000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.82676860   -344.82677565   0.7046019E-05
    3.00000   2.60000   3.10000 125.00000 125.00000 -10.00000   -344.83929820   -344.83930052   0.2315761E-05
    2.60000   3.00000   3.10000 125.00000 125.00000 -10.00000   -344.83929820   -344.83930051   0.2311170E-05
    2.80000   2.40000   3.10000 125.00000 125.00000 -10.00000   -344.82676860   -344.82677564   0.7044163E-05
    3.00000   2.80000   2.90000 125.00000 125.00000 -10.00000   -344.83346190   -344.83345982  -0.2079002E-05
    2.60000   2.60000   2.90000 125.00000 125.00000 -10.00000   -344.82839040   -344.82839443   0.4032604E-05
    2.80000   3.00000   2.90000 125.00000 125.00000 -10.00000   -344.83346190   -344.83345983  -0.2072459E-05
    2.60000   2.80000   3.30000 125.00000 125.00000 -10.00000   -344.83726080   -344.83725636  -0.4440073E-05
    2.80000   2.60000   3.30000 125.00000 125.00000 -10.00000   -344.83726080   -344.83725637  -0.4428939E-05
    2.80000   2.80000   2.70000 125.00000 125.00000 -10.00000   -344.79974230   -344.79975158   0.9277803E-05
    3.00000   2.80000   3.10000 100.00000 125.00000 -10.00000   -344.83442460   -344.83441705  -0.7549004E-05
    2.60000   2.60000   3.10000 100.00000 125.00000 -10.00000   -344.82993710   -344.82994434   0.7236336E-05
    2.80000   3.00000   3.10000 100.00000 125.00000 -10.00000   -344.83404930   -344.83403937  -0.9926088E-05
    2.60000   2.80000   2.90000 100.00000 125.00000 -10.00000   -344.82273350   -344.82273463   0.1128351E-05
    2.80000   2.60000   2.90000 100.00000 125.00000 -10.00000   -344.82314260   -344.82314553   0.2933267E-05
    2.80000   2.80000   3.30000 100.00000 125.00000 -10.00000   -344.83302420   -344.83301691  -0.7293285E-05
    2.60000   2.80000   3.10000 150.00000 125.00000 -10.00000   -344.81980990   -344.81980433  -0.5566622E-05
    2.80000   2.60000   3.10000 150.00000 125.00000 -10.00000   -344.81980620   -344.81980061  -0.5586111E-05
    2.80000   2.80000   2.90000 150.00000 125.00000 -10.00000   -344.81550640   -344.81551084   0.4436159E-05
    2.80000   2.80000   3.10000  75.00000 125.00000 -10.00000   -344.80416470   -344.80420406   0.3936371E-04
    3.00000   2.80000   3.10000 125.00000 100.00000 -10.00000   -344.83404930   -344.83403937  -0.9931343E-05
