SURFACE  (  208 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    3.00000   2.80000   2.90000 125.00000 100.00000   0.00000   -344.81747538   -344.81747538   0.0000000E+00
    2.60000   2.60000   2.90000 125.00000 100.00000   0.00000   -344.81271753   -344.81271753   0.5684342E-13
    2.80000   3.00000   2.90000 125.00000 100.00000   0.00000   -344.81792035   -344.81792035   0.1136868E-12
    2.60000   2.80000   3.30000 125.00000 100.00000   0.00000   -344.82350175   -344.82350175   0.0000000E+00
    2.80000   2.60000   3.30000 125.00000 100.00000   0.00000   -344.82320504   -344.82320504   0.5684342E-13
    2.80000   2.80000   2.70000 125.00000 100.00000   0.00000   -344.78324264   -344.78324264   0.5684342E-13
    3.00000   2.80000   3.10000 100.00000 100.00000   0.00000   -344.80711386   -344.80711386  -0.1136868E-12
    2.60000   2.60000   3.10000 100.00000 100.00000   0.00000   -344.80199072   -344.80199072  -0.5684342E-13
    2.80000   3.00000   3.10000 100.00000 100.00000   0.00000   -344.80711386   -344.80711386   0.1136868E-12
    2.60000   2.80000   2.90000 100.00000 100.00000   0.00000   -344.79355065   -344.79355065  -0.5684342E-13
    2.80000   2.60000   2.90000 100.00000 100.00000   0.00000   -344.79355065   -344.79355065  -0.1136868E-12
    2.80000   2.80000   3.30000 100.00000 100.00000   0.00000   -344.80683504   -344.80683504   0.1705303E-12
    2.60000   2.80000   3.10000 150.00000 100.00000   0.00000   -344.82529901   -344.82529901  -0.1705303E-12
    2.80000   2.60000   3.10000 150.00000 100.00000   0.00000   -344.82499261   -344.82499261  -0.5684342E-13
    2.80000   2.80000   2.90000 150.00000 100.00000   0.00000   -344.81944579   -344.81944579   0.1136868E-12
    2.80000   2.80000   3.10000  75.00000 100.00000   0.00000   -344.77113865   -344.77113865   0.0000000E+00
    3.00000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.81715322   -344.81715322  -0.2842171E-12
    2.60000   2.60000   3.10000 125.00000 150.00000   0.00000   -344.80897852   -344.80897852   0.0000000E+00
    2.80000   3.00000   3.10000 125.00000 150.00000   0.00000   -344.81718508   -344.81718508   0.0000000E+00
    2.60000   2.80000   2.90000 125.00000 150.00000   0.00000   -344.80458885   -344.80458885   0.2842171E-12
    2.80000   2.60000   2.90000 125.00000 150.00000   0.00000   -344.80465985   -344.80465985   0.1136868E-12
    2.80000   2.80000   3.30000 125.00000 150.00000   0.00000   -344.81371557   -344.81371557   0.1705303E-12
    2.60000   2.80000   3.10000 100.00000 150.00000   0.00000   -344.82499261   -344.82499261   0.1705303E-12
    2.80000   2.60000   3.10000 100.00000 150.00000   0.00000   -344.82529901   -344.82529901  -0.5684342E-13
    2.80000   2.80000   2.90000 100.00000 150.00000   0.00000   -344.81944578   -344.81944578   0.5684342E-13
    2.80000   2.80000   3.10000 150.00000 150.00000   0.00000   -344.76828819   -344.76828819   0.5684342E-13
    2.60000   2.80000   3.10000 125.00000  75.00000   0.00000   -344.79350413   -344.79350413  -0.1136868E-12
    2.80000   2.60000   3.10000 125.00000  75.00000   0.00000   -344.79204360   -344.79204360  -0.1136868E-12
    2.80000   2.80000   2.90000 125.00000  75.00000   0.00000   -344.78683656   -344.78683656   0.0000000E+00
    2.80000   2.80000   3.10000 100.00000  75.00000   0.00000   -344.77113865   -344.77113865   0.0000000E+00
    2.40000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.82066132   -344.82065954  -0.1783645E-05
    3.00000   2.60000   3.10000 125.00000 125.00000 -10.00000   -344.83322503   -344.83322837   0.3341229E-05
    2.60000   3.00000   3.10000 125.00000 125.00000 -10.00000   -344.83322503   -344.83322836   0.3333959E-05
    2.80000   2.40000   3.10000 125.00000 125.00000 -10.00000   -344.82066132   -344.82065955  -0.1772006E-05
    3.00000   2.80000   2.90000 125.00000 125.00000 -10.00000   -344.82720655   -344.82720858   0.2034009E-05
    2.60000   2.60000   2.90000 125.00000 125.00000 -10.00000   -344.82209531   -344.82209418  -0.1128447E-05
    2.80000   3.00000   2.90000 125.00000 125.00000 -10.00000   -344.82720655   -344.82720858   0.2033641E-05
    2.60000   2.80000   3.30000 125.00000 125.00000 -10.00000   -344.83129893   -344.83130104   0.2113843E-05
    2.80000   2.60000   3.30000 125.00000 125.00000 -10.00000   -344.83129893   -344.83130106   0.2125744E-05
    2.80000   2.80000   2.70000 125.00000 125.00000 -10.00000   -344.79319340   -344.79319144  -0.1960380E-05
    3.00000   2.80000   3.10000 100.00000 125.00000 -10.00000   -344.82839098   -344.82838619  -0.4788532E-05
    2.60000   2.60000   3.10000 100.00000 125.00000 -10.00000   -344.82386829   -344.82387280   0.4513554E-05
    2.80000   3.00000   3.10000 100.00000 125.00000 -10.00000   -344.82800847   -344.82800301  -0.5463516E-05
    2.60000   2.80000   2.90000 100.00000 125.00000 -10.00000   -344.81646738   -344.81646956   0.2180040E-05
    2.80000   2.60000   2.90000 100.00000 125.00000 -10.00000   -344.81688497   -344.81688712   0.2148783E-05
    2.80000   2.80000   3.30000 100.00000 125.00000 -10.00000   -344.82710502   -344.82710053  -0.4494786E-05
    2.60000   2.80000   3.10000 150.00000 125.00000 -10.00000   -344.81371133   -344.81370717  -0.4156529E-05
    2.80000   2.60000   3.10000 150.00000 125.00000 -10.00000   -344.81370024   -344.81369734  -0.2899243E-05
    2.80000   2.80000   2.90000 150.00000 125.00000 -10.00000   -344.80923280   -344.80923484   0.2037384E-05
    2.80000   2.80000   3.10000  75.00000 125.00000 -10.00000   -344.79810330   -344.79813902   0.3571653E-04
    3.00000   2.80000   3.10000 125.00000 100.00000 -10.00000   -344.82800846   -344.82800300  -0.5457622E-05
    2.60000   2.60000   3.10000 125.00000 100.00000 -10.00000   -344.82386829   -344.82387281   0.4517552E-05
    2.80000   3.00000   3.10000 125.00000 100.00000 -10.00000   -344.82839098   -344.82838620  -0.4784914E-05
    2.60000   2.80000   2.90000 125.00000 100.00000 -10.00000   -344.81688497   -344.81688711   0.2144422E-05
